:START_ID|Source|:END_ID|:TYPE
ENTREZ:146771|NCBI_Entrez_Gene|MIM:612756|belongs_to
ENTREZ:871|NCBI_Entrez_Gene|MIM:600943|belongs_to
ENTREZ:3822|NCBI_Entrez_Gene|MIM:602891|belongs_to
ENTREZ:55751|NCBI_Entrez_Gene|MIM:613937|belongs_to
ENTREZ:2022|NCBI_Entrez_Gene|MIM:131195|belongs_to
ENTREZ:79368|NCBI_Entrez_Gene|MIM:606509|belongs_to
ENTREZ:8564|NCBI_Entrez_Gene|MIM:603538|belongs_to
ENTREZ:257000|NCBI_Entrez_Gene|MIM:615241|belongs_to
ENTREZ:4719|NCBI_Entrez_Gene|MIM:157655|belongs_to
ENTREZ:8563|NCBI_Entrez_Gene|MIM:612733|belongs_to
ENTREZ:54014|NCBI_Entrez_Gene|MIM:617824|belongs_to
ENTREZ:7066|NCBI_Entrez_Gene|MIM:600044|belongs_to
ENTREZ:684|NCBI_Entrez_Gene|MIM:600534|belongs_to
ENTREZ:6242|NCBI_Entrez_Gene|MIM:602288|belongs_to
ENTREZ:64127|NCBI_Entrez_Gene|MIM:605956|belongs_to
ENTREZ:23593|NCBI_Entrez_Gene|MIM:605825|belongs_to
ENTREZ:780909|NCBI_Entrez_Gene|MIM:609403p|belongs_to
ENTREZ:5133|NCBI_Entrez_Gene|MIM:600244|belongs_to
ENTREZ:10631|NCBI_Entrez_Gene|MIM:608777|belongs_to
ENTREZ:29779|NCBI_Entrez_Gene|MIM:614211p|belongs_to
ENTREZ:5075|NCBI_Entrez_Gene|MIM:167411|belongs_to
ENTREZ:1366|NCBI_Entrez_Gene|MIM:609131|belongs_to
ENTREZ:79957|NCBI_Entrez_Gene|MIM:614579|belongs_to
ENTREZ:23066|NCBI_Entrez_Gene|MIM:610403|belongs_to
ENTREZ:2151|NCBI_Entrez_Gene|MIM:601919|belongs_to
ENTREZ:2561|NCBI_Entrez_Gene|MIM:600232|belongs_to
ENTREZ:54831|NCBI_Entrez_Gene|MIM:607335|belongs_to
ENTREZ:8781|NCBI_Entrez_Gene|MIM:604239|belongs_to
ENTREZ:54769|NCBI_Entrez_Gene|MIM:607863|belongs_to
ENTREZ:158833|NCBI_Entrez_Gene|MIM:300924|belongs_to
ENTREZ:285512|NCBI_Entrez_Gene|MIM:613300|belongs_to
ENTREZ:5530|NCBI_Entrez_Gene|MIM:114105|belongs_to
ENTREZ:4267|NCBI_Entrez_Gene|MIM:450000|belongs_to
ENTREZ:54920|NCBI_Entrez_Gene|MIM:609707|belongs_to
ENTREZ:55100|NCBI_Entrez_Gene|MIM:617233|belongs_to
ENTREZ:124975|NCBI_Entrez_Gene|MIM:612341|belongs_to
ENTREZ:808|NCBI_Entrez_Gene|MIM:114183|belongs_to
ENTREZ:56961|NCBI_Entrez_Gene|MIM:610481|belongs_to
